sample,path
AMT_GSMR,https://zenodo.org/records/14020033/files/AMT_GSMR.txt.gz?download=1
NT5C2_GSMR,https://zenodo.org/records/14020033/files/NT5C2_GSMR.txt.gz?download=1
NEGR1_GSMR,https://zenodo.org/records/14020033/files/NEGR1_GSMR.txt.gz?download=1
FAKE_GSMR,https://zenodo.org/records/14187210/files/FAKE_GSMR.txt.gz?download=1
